"","id","condition","messageHow","messageRules","total_points","age","sex","engagement","difficulty","feedback","task_duration_ms","reflect_duration_ms","composition_duration_ms"
"1",5,"hard","Collect as many as you can using the hints you are provided!","Using the arrow keys, work around the planet collecting diamonds. Fuse these together where possible, using the spacebar.",11000,40,"female",10,5,"No comments.",94859,42585,34135
"2",6,"hard","diamond and triangles, and squares and circles until you get a blue diamond or circle","Diamonds and triangles go together. Circles and squares go together",23015,33,"male",6,4,"na",194554,29488,65931
"3",7,"medium","I suggest just try different combinations until you find one that works","Remember patterns that work well together",1000,44,"female",2,9,"No",199993,21327,48118
"4",8,"easy","No idea reallly!","to pair up red shapes",100010,59,"female",8,7,"no",314787,14266,27445
"5",9,"hard","diamond & circle combine","Combine diamond + triangle\ncircles and square go together",4,50,"male",7,8,"I struggled to do it at speed",88701,70471,86755
"6",10,"hard","Combine squares and circles, diamonds and traingles, ","The best way to maximise is combining diamonds and triangles and combining circles and squares",110000,45,"male",8,9,"No",215043,37689,73246
"7",11,"hard","Diamond and triangle works best.  Circle and square next","Combine diamond and triangles.",11053,45,"male",9,4,"It was a nice good fun little experiment",158793,35952,61294
"8",12,"hard","Combine diamonds and triangles together, don't forget to alternate patterns as well, that seems to have an effect","Combine diamonds and triangles, then keep adding triangles\ncircles and squares combine as well",10010,42,"male",8,7,"None",164600,48319,72287
"9",13,"hard","triangle and a diamond make good triangle","Combine diamond + triangle to make a better diamond, then another triangle, then another triangle, to get to a blue diamond for high points. Don't forget to harvest. Do the same with circle + square, + square, etc. Pattern doesn't matter.",1213,29,"female",9,8,"its a good experiment",198728,7347,39063
"10",14,"hard","Try item pair the items together, and if there are cluster of items, you will get more points.","Combine diamond and triangle to make a better diamond, then another triangle",1021,29,"noresponse",7,5,"It was fun!",234631,34840,33899
"11",15,"medium","Try and get a combo of a different shape and colour","Try and stick to the same combo once found",101,33,"female",9,5,"No",122442,18783,40054
"12",16,"easy","try different variations","Merge gems of the same shape",152,51,"female",5,6,"no",191122,16712,34183
"13",17,"easy","Match symbols of the same shape together","Gems of the same shape merge to make new gems. Colour and pattern doesn't seem to matter.",232,54,"female",9,1,"Good fun!",193540,19747,34977
"14",18,"easy","The shape of the item matters so fuse together the same shapes to get the different colours","Try and remember what colour and shape go together so i can harvest the most points. The same shape seems to harvest the most when fusing them",400040,44,"female",10,4,"nice experiment thank you",260697,54682,78329
"15",19,"medium","mix circles with squares and diamonds with triangles","triangles and diamonds\nsquares and circle",140,39,"female",7,4,"no",283984,31256,79888
"16",20,"medium","I tried multiple combinations and none worked, ","A combination of shapes will multiply the points if they are the same. The actual shapes matter. Bank purple gems.",10,36,"female",4,10,"I could find no patterns",287717,40366,25627
