"","sub_id","msg_id","msg_from","note_text","saved_at","condition","total_points","log_total_points","msg_rank"
"1",38,6,"Player #6","Combine the same shapes and collect all the same shapes until they are finished. Don't rush to drop a shape because new ones of the same type may pop up.",2026-04-20 08:33:52.839,"easy",100100,11.5139349552634,6
"2",39,6,"Player #6","Combine the same shapes and collect all the same shapes until they are finished. Don't rush to drop a shape because new ones of the same type may pop up. When finished with a certain set of shapes, be sure to drop the one you are holding, then pick up another one and repeat the same pattern. Never mix two different shapes.",2026-04-20 08:33:52.02,"easy",73,4.30406509320417,6
"3",39,1,"Player #1","Gems of the same shape merge to make new gems. Colour and pattern doesn't seem to matter.",2026-04-20 08:33:59.231,"easy",73,4.30406509320417,1
"4",40,11,"Player #1","Combine diamond + triangle to make a better diamond, then another triangle, then another triangle, to get to a blue diamond for high points",2026-04-20 08:48:39.485,"hard",10042,9.21463115339334,1
"5",40,11,"Player #1","Diamonds and triangles go together. Circles and squares go together",2026-04-20 08:48:42.515,"hard",10042,9.21463115339334,1
"6",41,21,"Player #1","Triangle + Diamond (can keep stacking more diamonds) Square + Circle (again keep stacking circles",2026-04-20 08:52:02.604,"medium",10220,9.23219970632908,1
"7",42,11,"Player #1","Combine diamond + triangle to make a better diamond, then another triangle, then another triangle, to get to a blue diamond for high points. Don't forget to harvest. Do the same with circle + square, + square, etc. Pattern doesn't matter.\nFusion rules & patterns:",2026-04-20 08:52:06.259,"hard",20102,9.90862433664128,1
"8",42,11,"Player #1","Diamonds and triangles go together. Circles and squares go togethe",2026-04-20 08:52:10.392,"hard",20102,9.90862433664128,1
"9",43,21,"Player #1","I found that once I found a combination of shapes if I kept going for the same shape then the points would keep multiplying.",2026-04-20 08:51:13.613,"medium",110120,11.6093350402179,1
"10",43,21,"Player #1","Once you get a purple gem don't forget to bank it as any other combinations won't increase value!",2026-04-20 08:51:18.596,"medium",110120,11.6093350402179,1
"11",43,21,"Player #1","Triangle + Diamond (can keep stacking more diamonds) Square + Circle (again keep stacking circles) REMEMBER to pick up in the order stated",2026-04-20 08:51:31.849,"medium",110120,11.6093350402179,1
"12",43,22,"Player #2","try and figure out a pattern of what combines first.",2026-04-20 08:51:51.173,"medium",110120,11.6093350402179,2
"13",43,22,"Player #2","If you combine two shapes together and keep combing them, you move up in the crystal points rank",2026-04-20 08:51:59.391,"medium",110120,11.6093350402179,2
"14",43,23,"Player #3","When you find a combination of two objects, make note of the pattern inside the newly created object, fuse the new object (the one that you're holding) with the same shaped object that allowed you to create the new object",2026-04-20 08:52:31.555,"medium",110120,11.6093350402179,3
"15",43,24,"Player #4","The triangles combine only with the diamonds and vice versa. The squares combine only with the circles and vice versa.",2026-04-20 08:52:57.269,"medium",110120,11.6093350402179,4
"16",44,1,"Player #1","Gems of the same shape merge to make new gems. Colour and pattern doesn't seem to matter.",2026-04-20 08:51:52.647,"easy",400040,12.8993223208374,1
"17",44,5,"Player #5","You can usually fuse together objects of the same shape, but you can't repeat objects with the same pattern",2026-04-20 08:53:18.365,"easy",400040,12.8993223208374,5
"18",45,1,"Player #1","Gems of the same shape merge to make new gems.",2026-04-20 08:56:59.062,"easy",151,5.02388052084628,1
"19",45,2,"Player #2","triangle fuses with triangle, etc.",2026-04-20 08:57:31.758,"easy",151,5.02388052084628,2
"20",46,11,"Player #1","Tips & strategies:\n\nCombine diamond + triangle to make a better diamond, then another triangle, then another triangle, to get to a blue diamond for high points. Don't forget to harvest. Do the same with circle + square, + square, etc. Pattern doesn't matter.\nFusion rules & patterns:\n\nDiamonds and triangles go together. Circles and squares go together",2026-04-20 08:57:43.565,"hard",381,5.94542060860658,1
"21",46,15,"Player #5","Striped triangle and striped diamond make an orange striped triangle",2026-04-20 08:58:28.985,"hard",381,5.94542060860658,5
"22",47,1,"Player #1","Gems of the same shape merge to make new gems. Colour and pattern doesn't seem to matter.",2026-04-20 09:02:42.077,"easy",232,5.4510384535657,1
"23",47,2,"Player #2","Form seems to be a determinant factor for the capacity of fusion (triangle fuses with triangle, etc.).",2026-04-20 09:02:52.26,"easy",232,5.4510384535657,2
"24",48,25,"Player #5","Remember to drop off your colours (if its a good one) pressing space before you try and merge again",2026-04-20 09:05:08.661,"medium",100113,11.5140648156637,5
"25",48,21,"Player #1","Once you get a purple gem don't forget to bank it",2026-04-20 09:05:27.084,"medium",100113,11.5140648156637,1
"26",49,21,"Player #1","Triangle + Diamond (can keep stacking more diamonds) Square + Circle (again keep stacking circles) REMEMBER to pick up in the order stated (not sure what'll happen the opposite way)",2026-04-20 09:07:48.118,"medium",121,4.80402104473326,1
"27",50,1,"Player #1","Merging gems of the same shape produced new gems. Attempting to merge gems of differing shapes failed every time in my trials.",2026-04-20 09:04:19.407,"easy",11320,9.33441468707811,1
"28",50,3,"Player #3","start with one shape at a time and pair up all the same shapes first, for example the squares, once you get too purple colour cash it in for points, continue to do that with all the other shapes",2026-04-20 09:05:15.69,"easy",11320,9.33441468707811,3
"29",51,1,"Player #1","Merging gems of the same shape produced new gems. Attempting to merge gems of differing shapes failed every time in my trials.",2026-04-20 09:09:29.053,"easy",0,0,1
"30",52,21,"Player #1","Once you get a purple gem don't forget to bank it as any other combinations won't increase value!",2026-04-20 09:06:48.047,"medium",202012,12.2160873307482,1
"31",52,21,"Player #1","REMEMBER to pick up in the order stated (not sure what'll happen the opposite way)",2026-04-20 09:07:06.362,"medium",202012,12.2160873307482,1
"32",52,22,"Player #2","Do not mindlessly click, try and figure out a pattern of what combines first. It is simpler than you think",2026-04-20 09:07:20.261,"medium",202012,12.2160873307482,2
"33",52,24,"Player #4","The triangles combine only with the diamonds and vice versa. The squares combine only with the circles and vice versa.",2026-04-20 09:07:49.945,"medium",202012,12.2160873307482,4
"34",52,30,"Player #10","Never go with two similar shaped crystals. combining different shapes might help to fuse. After you fuse it. Take it and harvest it in an empty space.",2026-04-20 09:08:11.673,"medium",202012,12.2160873307482,10
"35",53,6,"Player #6","ed. Don't rush to drop a shape because new ones of the same type may pop up.",2026-04-20 09:12:56.272,"easy",400040,12.8993223208374,6
"36",54,21,"Player #1","I found that once I found a combination of shapes if I kept going for the same shape then the points would keep multiplying. I didn't notice any patterns between the different shadings of shapes only the actual shapes themselves. Once you get a purple gem don't forget to bank it as any other combinations won't increase value!",2026-04-20 09:09:53.032,"medium",100037,11.5133053927885,1
"37",55,11,"Player #1","Combine diamond + triangle to make a better diamond, then another triangle, then another triangle, to get to a blue diamond for high points. Don't forget to harvest. Do the same with circle + square, + square, etc. Pattern doesn't matter.\nFusion rules & patterns:\n\nDiamonds and triangles go together. Circles and squares go together",2026-04-20 09:12:05.805,"hard",645,6.4707995037826,1
"38",56,21,"Player #1","Triangle + Diamond (can keep stacking more diamonds) Square + Circle (again keep stacking circles) REMEMBER to pick up in the order stated (not sure what'll happen the opposite way)",2026-04-20 09:17:06.666,"medium",175,5.17048399503815,1
"39",56,24,"Player #4","The triangles combine only with the diamonds and vice versa. The squares combine only with the circles and vice versa. Following this, choose a figure to start with and start matching with its geometric partner that has a different color or pattern. Example: I start with a square of stripes and combine it with a plain circle. Imagine that a plain square with different colour turns out, which I will combine with another circle with dots. And so on. When you can't combine more drop for later or collect depending on the moves you have left.",2026-04-20 09:17:24.274,"medium",175,5.17048399503815,4
"40",57,11,"Player #1","Combine diamond + triangle to make a better diamond, then another triangle, then another triangle, to get to a blue diamond for high points. Don't forget to harvest. Do the same with circle + square, + square, etc. Pattern doesn't matter.",2026-04-20 09:06:59.873,"hard",27,3.3322045101752,1
"41",57,11,"Player #1","Diamonds and triangles go together. Circles and squares go together",2026-04-20 09:07:10.088,"hard",27,3.3322045101752,1
"42",57,12,"Player #2","similar seemed to make a higher score",2026-04-20 09:07:35.155,"hard",27,3.3322045101752,2
"43",57,16,"Player #6","Tips & strategies:\n\nI matched the fuse together priortizing the high values first.\nFusion rules & patterns:\n\nFusing the only identical shapes",2026-04-20 09:08:27.122,"hard",27,3.3322045101752,6
"44",58,1,"Player #1","Gems of the same shape merge to make new gems. Colour and pattern doesn't seem to matter",2026-04-20 09:19:35.048,"easy",302021,12.6182551413859,1
"45",58,3,"Player #3","start with one shape at a time and pair up all the same shapes first, for example the squares, once you get too purple colour cash it in for points, continue to do that with all the other shapes",2026-04-20 09:20:09.182,"easy",302021,12.6182551413859,3
"46",58,6,"Player #6","Combine the same shapes and collect all the same shapes until they are finished. Don't rush to drop a shape because new ones of the same type may pop up. When finished with a certain set of shapes, be sure to drop the one you are holding, then pick up another one and repeat the same pattern. Never mix two different shapes.",2026-04-20 09:21:14.95,"easy",302021,12.6182551413859,6
"47",59,21,"Player #1","Triangle + Diamond (can keep stacking more diamonds) Square + Circle (again keep stacking circles)",2026-04-20 09:26:31.05,"medium",1020,6.92853781816467,1
