id,condition,summary,message_how,message_rules,total_points
61,easy,Match same shapes with same shapes\nIgnore colour and pattern\nPurple should harvest??,Keep matching shapes all the way through the game until it turns purple in colour then it wont match with anything so move on!,"Same shapes, ignore pattern and colour until it turns purple.",212110
62,medium,"Only combine Triangles with Circles, and Squares with Diamonds (and vice versa both) - no other combination will work. P.s when you get to purple colour, bank it! the value wont increase.","Only combine Triangles with Diamonds, and Squares with Circles (and vice versa both)",The rules suggested by other players didnt work.,200102
63,easy,"Match shapes with same/similar shapes, pattern and colour do not matter, take your time and remember to use spacebar wisely.","Merge shapes with matching shapes eg. square & square, regardless of pattern, until you get to purple. Dont forget to drop your purple shape in an empty square to recieve points.","Some shapes are left at the end, use them up to collect extra points.",400040
64,hard,"Diamonds and triangle together, circles and squares together",concentrate on squares and circles matching together and vary the patterns on the shapes to get a match,changing up the patterns helped with matching,111000
65,medium,triangles with circles and squares with diamonds is the best stategy. ALWAYS BANK PURPLES,DIAMONDS AND TRIANGLES SEEMED TO PAY BEST,NO REAL PATTERN I COULD DISCERN APART FROM DIAMONDS AND TRIANGLES,111
66,hard,Diamond and triangles+triangle+triangle. Harvest. Circles and squares.,"Make sure your first pair of diamonds and triangles, and then circles and squares, match. Keep adding triangles to triangles and squares to squares.","Circles and squares go together, diamonds and triangles go together.",21140
67,medium,Combinations of triangles and circles \nCombinations of squares and diamonds\nKeep merging with same shape\nBank purples.,Diamonds + triangles give you a colour and was the only combination I found worked. To change colour keep adding a diamond. Collect purple as this is high scoring.\nDiamond +diamond does not work.\nCircle + circle does not work,Only diamonds + triangles in that order I found worked.\nKeep adding a triangle once you have your first combination to move up the colours.,110010
68,easy,Merge the same shapes to the same shapes until you find a purple colour and do not forget to stop on an empty space and press space bar to get points. Colour and pattern does not seem to matter.,Shapes match with the same shapes meaning triangle to triangle square to square so ensure you match the same shapes to the same shapes till you get to purple then press space on an empty square to harvest points once its purple.,Shapes match to the same shapes. Ignore pattern and color and just keep merging the same shapes till you get a purple color which is the max then you harvest it and continue till the next shape and on and on until you clear the board of all shapes that can be matched.,400040
69,medium,one person said triangle+diamond and square+circle but another said triangle+circle and square+diamond,Diamond plus triangle works (and square plus circle works) but not triangle plus diamond.,The order you pick them up in matters.,164
70,medium,I want to combine triangles with circles and squares with diamonds. If i see a purple bank it there worth a lot.,"I found no combination, the last player who left advice was wrong and did not work. i treid all combinations then was left with collectiong single points. Do not rely on other players and there advice.",I did not notice any paterns or rules. judging by what other players said it is better to play the game on your own and no rely on other players making false statements about combinations that dont work.,12
71,medium,"Triangles with circles, squares with diamonds","For me, right at the end I found that squares and circles go together","Dont listen to me, I failed massively by following others instructions",10
72,hard,Diamond and triangles pair together as do circles and squares.\nUse diamond plus triangle to improve diamond then add triangles.\nDo the same with circles plus square then extra squares.\nMake sure to harvest for points.,"Diamonds and triangles fuse, but they have to have the same pattern inside them.  The same for circles and squares.  New items sometimes appear on the map so take your time and wait for them to appear.",The patterns inside the shapes needs to match for the fusion to work.,20409
73,medium,"Only combine Triangles with Circles\nand Squares with Diamonds\n\nBank purple right away, you cannot increase the value\n\nKeep following the same combination of shapes above",Combine Circles & Squares only and Triangles and Diamonds only\n\nCombine a blank shape with a patterned shape to receive an upgraded version of the shape you were holding\n\nCarry this over same method up into the upgraded shapes. This took too long for me to figure out so I didnt achieve as many points as I should have following this method,Combine a blank shape with a shape with a pattern or vice versa. This will give you an upgraded version of the shape you were holding (i.e. holding blank red diamond + patterned triangle = patterned orange diamond) pr (holding patterned red square + blank circle = blank orange square).,334
74,hard,Diamond + triangle + triangle + triangle\nCircle + square + square,Circle + Square is a good combo\nDiamond + Triangle is also a good combo,The plain shapes didnt seem to match well with the pattern shapes after the first fusion.,21022
75,medium,bank purples\ntriangle + circle\nsquare + diamond,bank purples asap,the patterns mean something and can help you build up higher points worth colours,301014
